,title,price,in_stock,image_url,href
0,Corsair Vengeance RGB RS DDR4 3200MHz 8GB (1x8) Desktop Memory,125,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/306818/image_256?ts=1691371102,https://www.pcbyte.com.my/p/corsair-vengeance-rgb-rs-ddr4-3200mhz-8gb-1x8-desktop-memory-306818
1,Corsair Vengeance RGB RT DDR4 4000MHz 16GB (2x8) Desktop Memory,569,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/272884/image_256?ts=1691371102,https://www.pcbyte.com.my/p/corsair-vengeance-rgb-rt-ddr4-4000mhz-16gb-2x8-desktop-memory-272884
2,Deepcool CF140 ARGB 2 IN 1 Case Fan,155,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/23282/image_256?ts=1672984503,https://www.pcbyte.com.my/p/deepcool-cf140-argb-2-in-1-case-fan-23282
3,ID-COOLING WF-12025 STATIC FAN IDC-WF-12025,22,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/229933/image_256?ts=1673245073,https://www.pcbyte.com.my/p/id-cooling-wf-12025-static-fan-idc-wf-12025-229933
4,ID-Cooling DK-03i RGB PWM CPU Air Cooler,44,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/17583/image_256?ts=1673245073,https://www.pcbyte.com.my/p/id-cooling-dk-03i-rgb-pwm-cpu-air-cooler-17583
5,ID-Cooling Frost X25 Thermal Paste - 4g,21,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/355025/image_256?ts=1673245073,https://www.pcbyte.com.my/p/id-cooling-frost-x25-thermal-paste-4g-355025
6,ID-Cooling ICEFAN 240 ARGB Cooling Fan,73,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/240049/image_256?ts=1673245073,https://www.pcbyte.com.my/p/id-cooling-icefan-240-argb-cooling-fan-240049
7,ID-Cooling Pinkflow 360 ARGB AIO Water Cooling,369,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/152817/image_256?ts=1675233938,https://www.pcbyte.com.my/p/id-cooling-pinkflow-360-argb-aio-water-cooling-152817
8,Lexar Hades RGB 16GB (2x8GB) 3600Mhz DDR4 Desktop Memory,289,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/407747/image_256?ts=1691371102,https://www.pcbyte.com.my/p/lexar-hades-rgb-16gb-2x8gb-3600mhz-ddr4-desktop-memory-407747
9,PNY XLR8 8GB DDR4 2666Mhz Desktop Memory,199,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/265557/image_256?ts=1673325378,https://www.pcbyte.com.my/p/pny-xlr8-8gb-ddr4-2666mhz-desktop-memory-265557
10,PNY XLR8 RGB DDR4 3200MHZ 8GB (1x8) Desktop Memory Silver MD8GSD4320016XSRGB,116,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/378598/image_256?ts=1691371102,https://www.pcbyte.com.my/p/pny-xlr8-rgb-ddr4-3200mhz-8gb-1x8-desktop-memory-silver-md8gsd4320016xsrgb-378598
11,Phanteks SK120 120mm DRGB Cooling Fan White - Trio Pack PH-F120SK_DRGB_PWM_WT01_3P,149,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/355746/image_256?ts=1673325650,https://www.pcbyte.com.my/p/phanteks-sk120-120mm-drgb-cooling-fan-white-trio-pack-ph-f120sk-drgb-pwm-wt01-3p-355746
12,Phanteks SK140 140mm DRGB Cooling Fan White - Trio Pack PH-F140SK_DRGB_PWM_WT01_3P,169,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/355747/image_256?ts=1673325650,https://www.pcbyte.com.my/p/phanteks-sk140-140mm-drgb-cooling-fan-white-trio-pack-ph-f140sk-drgb-pwm-wt01-3p-355747
13,Tecware Forge S TG ARGB ATX Black Gaming Case,185,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/60447/image_256?ts=1673482396,https://www.pcbyte.com.my/p/tecware-forge-s-tg-argb-atx-black-gaming-case-60447
14,Thermal Grizzly Minus Pad 8 - 100x 100x 1.5mm - 1 Pcs,128,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/275602/image_256?ts=1673484560,https://www.pcbyte.com.my/p/thermal-grizzly-minus-pad-8-100x-100x-1-5mm-1-pcs-275602
15,Thermalright AXP-100-C65 Full Copper Low Profile CPU Cooler,289,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/249269/image_256?ts=1676602779,https://www.pcbyte.com.my/p/thermalright-axp-100-c65-full-copper-low-profile-cpu-cooler-249269
16,Thermalright Frost Spirit 140 V3 CPU Cooler - Black,209,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/273048/image_256?ts=1690338330,https://www.pcbyte.com.my/p/thermalright-frost-spirit-140-v3-cpu-cooler-black-273048
17,Thermalright Frozen Magic SCENIC 360mm ARGB CPU Liquid Cooler,469,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/273105/image_256?ts=1689130501,https://www.pcbyte.com.my/p/thermalright-frozen-magic-scenic-360mm-argb-cpu-liquid-cooler-273105
18,Thermalright Odyssey Thermal Pad 120 x 120 x 1.0mm,79,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/274475/image_256?ts=1676602601,https://www.pcbyte.com.my/p/thermalright-odyssey-thermal-pad-120-x-120-x-1-0mm-274475
19,Thermalright Silver Arrow 130 CPU Cooler,249,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/274474/image_256?ts=1673484560,https://www.pcbyte.com.my/p/thermalright-silver-arrow-130-cpu-cooler-274474
20,Thermalright Silver Arrow IB-E Extreme REV. B B CPU Cooler,299,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/249274/image_256?ts=1681267677,https://www.pcbyte.com.my/p/thermalright-silver-arrow-ib-e-extreme-rev-b-b-cpu-cooler-249274
21,Thermalright Silver Soul 110 White Mini Dual Tower CPU Cooler (LGA1700 Ready),229,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/424775/image_256?ts=1673484560,https://www.pcbyte.com.my/p/thermalright-silver-soul-110-white-mini-dual-tower-cpu-cooler-lga1700-ready-424775
22,Thermalright TA 120 EX CPU Cooler - Black,189,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/272866/image_256?ts=1676602901,https://www.pcbyte.com.my/p/thermalright-ta-120-ex-cpu-cooler-black-272866
23,Thermalright TA 140 EX White Single Tower CPU Cooler,219,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/275979/image_256?ts=1673484560,https://www.pcbyte.com.my/p/thermalright-ta-140-ex-white-single-tower-cpu-cooler-275979
24,Thermalright TL-C12 PWM 120mm Cooling Fan,35,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/249288/image_256?ts=1676603501,https://www.pcbyte.com.my/p/thermalright-tl-c12-pwm-120mm-cooling-fan-249288
25,Thermalright TL-C12R-S ARGB Reverse Fan Blade Cooling Fan Single Pack,49,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/275980/image_256?ts=1673484560,https://www.pcbyte.com.my/p/thermalright-tl-c12r-s-argb-reverse-fan-blade-cooling-fan-single-pack-275980
26,Thermalright TL-D14S ARGB 140mm Cooling Fan,69,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/273094/image_256?ts=1673484560,https://www.pcbyte.com.my/p/thermalright-tl-d14s-argb-140mm-cooling-fan-273094
27,Thermalright True Spirit 120 MINI CPU Cooler,159,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/273053/image_256?ts=1674189253,https://www.pcbyte.com.my/p/thermalright-true-spirit-120-mini-cpu-cooler-273053
28,Thermalright True Spirit 120 PLUS CPU Cooler,199,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/273054/image_256?ts=1673484560,https://www.pcbyte.com.my/p/thermalright-true-spirit-120-plus-cpu-cooler-273054
